"  P - DETROIT",1
"  Y - SAN JOSE",2
"  Z - MONTRÉAL",3
"  Y - PITTSBURGH",4
"  X - ANAHEIM",5
"  X - NEW JERSEY",6
"  Y - MINNESOTA",7
"  X - DALLAS",8
"  X - NY RANGERS",9
"  X - COLORADO",10
"  X - PHILADELPHIA",11
"  Y - WASHINGTON",12
"  X - OTTAWA",13
"  X - CALGARY",14
"  X - BOSTON",15
"  CAROLINA",16
"  X - NASHVILLE",17
"  BUFFALO",18
"  EDMONTON",19
"  CHICAGO",20
"  VANCOUVER",21
"  FLORIDA",22
"  PHOENIX",23
"  TORONTO",24
"  COLUMBUS",25
"  NY ISLANDERS",26
"  ST. LOUIS",27
" ATLANTA",28
"  LOS ANGELES",29
"  TAMPA BAY",30
