,,"DIV","GP","W","L","OT","P","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - WASHINGTON","SE",82,54,15,13,121,318,233,85,"30-5-6","24-10-7",05/06/13,06/01/03,
2,"  Z - SAN JOSE","PAC",82,51,20,11,113,264,215,49,"27-6-8","24-14-3",07/06/13,08/01/01,"WON 3"
3,"  Y - CHICAGO","CEN",82,52,22,8,112,271,209,62,"29-8-4","23-14-4",09/06/13,06/03/01,
4,"  X - PHOENIX","PAC",82,50,25,7,107,225,202,23,"29-10-2","21-15-5","14-6",05/03/02,
5,"  Y - VANCOUVER","NW",82,49,28,5,103,272,222,50,"30-8-3","19-20-2",04/04/13,05/04/01,"WON 1"
6,"  Y - NEW JERSEY","ATL",82,48,27,7,103,222,191,31,"27-10-4","21-17-3",06/05/13,05/02/03,"WON 2"
7,"  X - DETROIT","CEN",82,44,24,14,102,229,216,13,"25-10-6","19-14-8",06/09/13,08/01/01,"WON 3"
8,"  X - PITTSBURGH","ATL",82,47,28,7,101,257,237,20,"25-12-4","22-16-3",08/02/13,05/04/01,"WON 1"
9,"  X - LOS ANGELES","PAC",82,46,27,9,101,241,219,22,"22-13-6","24-14-3",10/08/13,04/03/03,"WON 1"
10,"  X - NASHVILLE","CEN",82,47,29,6,100,225,225,"E","24-14-3","23-15-3",08/04/13,06/03/01,"WON 1"
11,"  Y - BUFFALO","NE",82,45,27,10,100,235,207,28,"25-10-6","20-17-4",04/06/13,05/05/00,"LOST 1"
12,"  X - COLORADO","NW",82,43,30,9,95,244,233,11,"24-14-3","19-16-6",07/05/13,03/05/02,
13,"  X - OTTAWA","NE",82,44,32,6,94,225,238,-13,"26-11-4","18-21-2",05/05/13,07/02/01,"LOST 1"
14,"  X - BOSTON","NE",82,39,30,13,91,206,200,6,"18-17-6","21-13-7",10/09/13,06/03/01,"WON 3"
15,"  ST. LOUIS","CEN",82,40,32,10,90,225,223,2,"18-18-5","22-14-5",07/05/13,06/03/01,
16,"  CALGARY","NW",82,40,32,10,90,204,210,-6,"20-17-4","20-15-6",03/07/13,04/05/01,"LOST 1"
17,"  ANAHEIM","PAC",82,39,32,11,89,238,251,-13,"25-11-5","14-21-6",05/08/13,05/02/03,"WON 1"
18,"  X - PHILADELPHIA","ATL",82,41,35,6,88,236,225,11,"24-14-3","17-21-3",04/03/13,04/05/01,"WON 1"
19,"  X - MONTRÉAL","NE",82,39,33,10,88,217,223,-6,"20-16-5","19-17-5",07/05/13,03/04/03,
20,"  DALLAS","PAC",82,37,31,14,88,237,254,-17,"23-11-7","14-20-7",07/10/13,06/04/00,"WON 2"
21,"  NY RANGERS","ATL",82,38,33,11,87,222,218,4,"18-17-6","20-16-5",03/04/13,07/01/02,
22,"  MINNESOTA","NW",82,38,36,8,84,219,246,-27,"25-12-4","13-24-4",05/07/13,03/05/02,
23," ATLANTA","SE",82,35,34,13,83,234,256,-22,"19-16-6","16-18-7",04/06/13,03/05/02,"WON 1"
24,"  CAROLINA","SE",82,35,37,10,80,230,256,-26,"21-17-3","14-20-7",04/05/13,05/03/02,"LOST 1"
25,"  TAMPA BAY","SE",82,34,36,12,80,217,260,-43,"21-14-6","13-22-6",04/07/13,06/04/00,"WON 3"
26,"  NY ISLANDERS","ATL",82,34,37,11,79,222,264,-42,"23-14-4",11/23/07,08/06/13,05/04/01,
27,"  COLUMBUS","CEN",82,32,35,15,79,216,259,-43,"20-12-9",12/23/06,02/10/13,03/04/03,
28,"  FLORIDA","SE",82,32,37,13,77,208,244,-36,"16-16-9","16-21-4",06/10/13,02/06/02,"LOST 1"
29,"  TORONTO","NE",82,30,38,14,74,214,267,-53,"18-17-6",12/21/08,04/04/13,04/04/02,"WON 1"
30,"  EDMONTON","NW",82,27,47,8,62,214,284,-70,"18-19-4",09/28/04,08/06/13,04/05/01,"LOST 1"
